13,7	12,4	12,4	12,4	13,8	10,8	11,9	15,4	17,0	20,5	21,5	22,6	23,0
13,8	12,1	12,8	12,9	10,7	13,5	10,3	13,4	15,6	19,1	21,9	19,9	23,0
12,1	13,2	14,3	12,9	13,5	12,1	9,2	15,0	18,2	19,3	21,8	21,6	23,0
12,6	12,3	14,5	13,9	11,6	13,6	10,7	13,7	17,7	17,1	20,8	21,6	23,8
14,8	13,0	12,0	14,4	12,9	10,3	10,4	16,6	16,9	18,1	20,2	20,7	23,1
15,1	14,4	15,3	14,8	13,4	10,4	11,3	13,4	17,5	19,2	20,2	21,4	20,0
13,7	13,7	12,5	13,0	10,6	11,4	9,5	13,0	19,0	17,1	21,7	21,6	23,3
12,7	13,3	15,4	13,6	11,6	11,0	8,5	16,2	18,5	20,1	19,7	19,0	22,2
15,4	16,0	13,5	15,5	14,0	11,7	8,4	14,1	16,3	20,9	21,7	21,0	23,4
15,0	15,6	15,0	14,8	13,4	13,3	11,7	14,4	17,9	17,0	20,7	21,0	23,6
15,6	15,9	16,0	12,8	10,6	11,7	8,2	13,6	15,4	20,7	21,1	21,4	21,0
12,7	15,9	13,7	14,2	11,0	13,6	10,2	16,4	19,0	18,1	21,2	19,2	20,6
12,5	13,8	14,2	12,7	14,0	10,5	9,9	16,3	18,2	17,1	22,0	19,7	22,3
16,0	15,7	13,0	12,0	13,1	12,7	10,4	15,8	17,7	20,2	21,5	21,2	23,3
15,4	15,2	14,3	15,2	13,4	12,3	8,6	15,7	16,7	17,0	21,6	22,2	23,3
15,4	12,6	12,6	15,7	13,4	12,4	11,9	15,4	16,6	20,4	20,2	22,6	23,9
14,5	12,7	13,6	12,8	13,1	11,1	10,9	16,7	15,8	20,4	18,3	22,6	23,0
13,2	15,6	12,7	12,9	10,6	11,0	8,6	14,4	17,2	19,3	18,5	22,1	23,2
12,8	13,2	14,8	13,6	12,0	11,0	9,6	13,6	16,0	17,6	18,3	20,2	23,3
12,3	13,0	14,6	12,0	10,9	11,6	8,1	15,6	18,3	17,2	20,2	21,5	21,6
14,6	13,9	13,2	14,9	12,7	11,2	12,0	13,9	17,7	21,0	18,9	20,8	23,2
13,5	15,9	13,4	13,4	11,1	13,6	10,6	15,6	15,0	20,6	18,4	22,8	20,7
