-5	-22
-1	-46
37	28
-25	3
-40	17
47	8
1	47
12	-23
25	48
13	9
-41	-43
-2	-33
20	-12
-1	47
-44	47
36	-8
-16	7
29	-21
-31	35
1	-12
-5	-24
-34	25
14	-43
22	21
-27	-39
45	-16
-12	36
-32	31
4	32
41	-24
4	33
7	-33
43	-7
-44	-47
-37	12
-43	11
7	-8
-17	23
-26	13
-6	-24
-40	-25
6	36
34	9
-21	44
-2	2
-40	2
-40	-27
-30	-5
-8	-29
13	23
2	-49
-49	40
49	-31
-48	-19
25	10
-32	-8
25	-43
-39	-16
31	10
-30	33
-9	-43
-40	-30
42	48
-6	14
12	2
47	28
12	44
-19	-23
-10	42
-16	46
-47	-49
-39	-6
14	7
26	42
-18	0
8	29
-23	-43
-14	-45
-28	-3
26	-25
24	4
-22	48
44	-28
-46	-9
-41	1
-46	-48
32	26
-42	11
-12	47
2	-30
-23	32
-50	45
-25	27
-9	-20
39	-43
-38	-12
32	0
-19	26
-12	-42
-38	33
-3	4
-50	17
27	34
32	-23
32	33
-12	-25
46	0
-24	17
1	-5
-16	-8
-19	4
-6	-43
23	-6
-35	37
-36	20
-46	25
36	-45
-17	26
31	-31
-49	26
-34	36
29	41
13	-35
-4	-31
-4	2
-20	-8
-1	-38
17	-8
14	-32
-49	22
-16	-30
19	24
-44	-36
24	-47
-35	-6
22	-38
16	26
2	15
-28	-20
-50	-32
-11	-30
-2	-41
-18	16
22	-48
40	-21
26	-17
-29	-41
-31	36
-23	-45
14	-38
-36	7
-38	10
40	-15
32	-24
37	36
-1	-30
38	24
-27	-10
-12	-45
-48	37
17	-23
5	-41
-25	-46
33	-22
31	12
-7	37
-17	-19
-46	22
17	31
-50	41
10	43
-3	23
16	42
38	-15
-26	14
-13	-22
-23	23
-21	2
-29	-20
-16	-18
-6	25
47	22
3	-11
13	41
14	-37
44	-50
41	27
-9	-32
-45	-27
14	-42
-43	-41
31	-12
24	-20
-5	-23
22	-16
34	9
-7	-26
-31	-7
15	-29
-21	0
-15	-5
-45	40
24	-15
-13	1
-47	29
3	-5
-22	-5
14	13
-33	1
-45	-24
-39	16
-20	30
24	-45
-31	-12
15	15
27	-38
-18	10
20	8
-45	19
-2	21
20	-36
18	31
2	10
32	-5
-20	9
4	-50
25	0
16	5
24	-10
-40	-3
-13	-21
6	-47
34	9
-25	14
-36	17
33	21
45	36
-27	22
2	-42
-25	31
-41	19
37	-36
-34	-14
-33	46
-42	-22
16	5
47	32
29	-25
18	41
-38	-33
-3	25
11	23
-29	30
31	3
25	48
-24	-20
20	-3
17	35
39	41
35	23
-4	-28
2	-37
17	-41
-15	-17
1	44
-37	1
-21	-17
25	5
-45	35
-3	-24
-40	46
-14	46
14	-38
-24	27
-24	39
43	18
21	-7
-38	14
27	-1
-39	28
-5	-34
33	-12
-25	1
7	-45
-29	40
2	9
-20	43
-25	40
15	-4
-20	-7
-42	33
16	-1
47	22
-41	-2
-46	14
-36	6
47	-23
-10	46
44	9
-38	-14
32	12
-22	17
-32	24
-3	1
16	-9
31	-17
12	43
23	31
-36	-20
-41	-22
15	-28
4	14
-49	-49
-14	-13
-14	3
-6	-19
26	16
46	13
38	42
39	-11
30	35
-21	4
-26	-49
26	28
6	45
-48	4
28	9
-2	-45
41	31
-45	6
-22	-5
-5	17
-21	-9
2	-35
-40	-14
-35	36
31	2
35	46
39	41
17	42
-9	-20
-18	30
24	-7
42	26
-38	13
-15	41
-9	4
-46	-22
22	-10
46	-6
-41	38
28	-9
-43	-26
42	23
-49	39
7	37
-46	21
27	-18
38	-42
-40	-45
-26	-20
-13	23
-43	-20
13	44
6	13
-5	-35
-35	-47
21	-16
10	22
24	42
42	-1
-44	1
-12	32
-11	-47
9	48
20	-27
1	-46
-33	10
-30	-34
-9	31
0	35
16	-24
-13	18
3	-43
30	-17
9	-45
41	-26
-45	8
-27	23
26	-37
-4	26
-44	0
12	14
45	-43
23	-24
18	-15
-47	-18
-24	46
-8	10
-22	18
-31	-15
-44	49
-5	-33
-17	-13
-6	2
-47	-23
17	29
4	-11
1	-16
40	3
9	-36
10	-28
-48	-24
16	-14
-42	-44
-36	14
-33	16
-25	-30
-5	-34
31	-27
-8	-45
-43	12
47	-3
21	-31
38	28
11	-49
36	39
-20	5
-3	-32
2	-33
47	27
-39	-9
-13	-15
17	-44
-44	-30
29	41
-49	-10
-19	-44
38	-22
13	-30
44	-6
2	13
34	12
27	-40
10	37
-28	1
45	-4
31	-33
-21	15
-5	33
-3	-47
18	7
-2	45
-48	1
-13	-15
-24	-50
8	-23
4	34
-15	-28
16	35
14	27
47	-50
-27	-21
-2	-4
5	-29
23	-36
-47	-3
-35	-5
26	47
20	19
-48	-11
-13	43
10	31
-24	49
-9	29
36	0
6	1
-47	19
-9	36
28	46
-42	-28
-27	15
12	-37
40	-7
14	-27
4	3
-6	-26
27	-19
17	-27
5	-10
17	-11
32	46
6	38
21	15
-7	-12
40	36
40	47
-39	-3
-48	-41
-16	-22
28	-24
48	36
-3	-19
0	-42
-34	48
44	-35
27	20
34	-34
-35	1
-28	14
-47	-39
-32	15
-27	25
-25	-50
-42	13
6	3
-28	8
42	20
7	-41
36	-17
46	-26
26	12
-25	45
17	-38
43	12
28	19
12	-33
-40	-38
32	-21
43	-16
-27	-49
31	-25
-6	11
-21	26
17	44
42	26
-17	44
-18	41
28	-9
-2	47
-31	-38
-36	-8
-44	26
16	-8
-45	-45
25	-13
-21	33
-33	-28
22	1
47	42
-45	17
-1	-15
48	48
-12	-12
49	-41
46	25
42	-40
-42	-13
-13	-19
17	22
10	48
4	35
33	-1
26	27
28	-47
-28	22
-30	-5
1	-25
-3	-34
10	-1
-17	-4
6	4
-45	-5
-21	-26
-44	-24
19	-39
24	-38
-5	48
49	30
22	-22
-29	40
-29	-38
-39	-46
18	3
-32	-39
31	-45
-22	-37
34	-9
7	0
-25	-7
-10	46
12	-38
-5	43
12	-1
-28	26
27	19
2	44
-48	14
-39	34
-1	-4
-38	-41
-49	32
47	-21
12	-2
-29	17
-1	33
-45	19
-20	39
30	15
17	16
2	-17
-24	3
-33	35
1	15
-20	-5
23	-14
9	13
-20	-13
-38	-11
31	-36
32	-46
17	-28
-9	-21
-21	38
26	16
47	-20
-25	-14
-16	-30
46	0
-42	-4
-16	36
-26	38
-49	-48
36	3
-38	-6
-25	-38
17	27
-21	-44
29	39
36	-38
-42	39
46	24
-32	19
-26	-41
25	17
-24	-48
15	34
-13	-8
-26	-36
28	9
-28	-4
13	-38
46	-7
44	-43
43	-3
-19	-20
-40	-3
-36	-44
47	-19
-38	19
-10	-39
-32	-11
-2	25
38	9
-1	-25
-17	-23
-32	44
41	42
-2	26
-12	14
44	36
48	38
-47	45
19	-13
-29	-11
-27	-29
-11	-29
-20	36
-39	-10
-35	-48
21	2
-44	-7
-45	-30
45	-9
-8	23
46	48
-8	25
40	19
31	0
-30	11
-3	16
14	-31
47	18
7	-18
1	43
-35	15
46	34
0	22
24	31
11	-18
49	-2
46	26
15	-45
18	-11
-36	45
12	-7
-28	40
27	40
12	-37
45	41
-29	21
30	-26
-18	16
40	22
0	-47
49	39
16	-32
-30	-21
41	17
